MAC1,MAC2,duration,frequency
001195fa35dd,00053c458c00,15,1
00053c458c00,000625e449be,84.6,5
001150173da7,00028a536ff4,8,1
00022dc6d810,0050fcdf87b3,59,1
000393a9428e,0050fcdf87b3,32.5,2
000625e449be,00095bf980e6,118.088235294118,34
0012f082b0ae,00095bf980e6,49.2380952380952,42
0012f0c6a17f,00095bf980e6,24.2173913043478,23
00022d167a3a,00095bf980e6,64,1
00095bf980e6,000e35fe55ae,606,1
001150173da7,00054e86b2e1,288.6,5
001150173da7,00095bf980e6,33.5,2
00054e86b2e1,00095bf980e6,434.954545454545,22
000fb52eee52,00095bf980e6,522,8
0012f0a6ca93,0012f0a48189,568.4,5
000af4b7acda,0012f0f635fa,33.308957952468,547
0012f0f635fa,000fb52eee52,22.3333333333333,3
00ae42fbe382,000af4b7acda,32,2
00601d29a832,000af4b7acda,84.0961538461538,52
0012f0f635fa,0012f0a48189,231.327586206897,58
00022d167a3a,00ae42fbe382,564.774193548387,31
00ae42fbe382,00022d6c25c8,1142,2
00022d167a3a,000d88dd803a,157.5,2
00022d167a3a,00054e86b2e1,580.75,12
000d88dd803a,00054e86b2e1,645.8,5
000e35b4528e,001124d66fe8,760.666666666667,3
00054e86b2e1,00055da35bfa,1118.5,18
00054e86b2e1,000fb52eee52,690.288888888889,45
00055da35bfa,000fb52eee52,247.714285714286,7
0012f0e66b40,000af4b7acda,51.5862068965517,29
0012f0c6a17f,00055da35bfa,50.7931034482759,29
0012f0c6a17f,0012f082b0ae,54.4942528735632,696
000393a9428e,000e35f29016,154.428571428571,7
0012f0c6a17f,0014a5ad9f5b,8.6,5
0012f0f635fa,0014a5ad9f5b,148.329787234043,94
000393a9428e,000e359072f0,31,1
0012f0a6ca93,001150bf5a13,54.4285714285714,14
000af4b7acda,001150bf5a13,52.2340425531915,47
00022d4d36b4,000393a9428e,338,1
00055da35bfa,001150173da7,564,1
001150173da7,0012f082b0ae,45.125,8
0012f0c6a17f,001150173da7,18,3
0012f082b0ae,0012f09832e9,92.3020833333333,288
000af4b7acda,0012f0a48189,23.1607142857143,56
003065a97bb7,001217c93e63,799.260869565217,23
0012f0c8197c,00904bb27026,94.4583333333333,48
000fb52eee52,001150173da7,307.5,2
0012f0c6a17f,00028a236470,74.2934782608696,184
0012f0c6a17f,000fb52eee52,89.9195402298851,87
00028a236470,000fb52eee52,454.166666666667,30
001150173da7,00028a236470,103,1
0012f0f635fa,001124a51256,117.172413793103,319
0007e0b8b83a,000fb5ec34a6,21,1
000e35d7cddb,00904b815985,26.2,5
000fb58ed0e7,000e35f29016,382.083333333333,12
0012f0a6ca93,000e351b8c36,51.375,16
00054e86b2e1,001217c93e63,837.36170212766,47
001217c93e63,000b7daae405,1050.64705882353,17
001217c93e63,00055da35bfa,1271,8
000b7daae405,00055da35bfa,2492,1
0012f0d9baad,001217c93e63,46.1052631578947,57
0012f0d9baad,00028a236470,53.0792079207921,101
0012f0d9baad,00054e86b2e1,30.752688172043,93
0012f0f635fa,000e351b8c36,15.4444444444444,54
0012f0a4b124,0012f0c6a17f,33.1162790697674,129
0012f0a4b124,00054e86b2e1,464.958333333333,24
0012f0bbb688,000e35fe55ae,45.0571428571429,35
000e35fe55ae,00054e86b2e1,471.8,15
000e35fe55ae,001150173da7,6944.25,4
0012f0bbb688,000fb52eee52,54.5164835164835,91
0050fcdf87b3,00054e2e3307,66,1
0050fcdf87b3,000fb5ec34a6,66,1
0012f09832e9,000e35fe55ae,57.6363636363636,22
0012f09832e9,00601d29a832,45.7916666666667,24
000e35fe55ae,00601d29a832,1798,2
000e35fe55ae,00ae42fbe382,648.333333333333,3
0012f0c6a17f,000e35f7ec4c,25.6753246753247,77
000e351b8c36,000e35fe55ae,58.5,4
000af4b7acda,00904bb27026,65.5037037037037,135
000e35f29016,000cf1c745db,31,1
00904ba7a5a5,000af4b7acda,24.75,4
0012f0a48189,000cf1af5de1,1072.21875,32
0012f0ba51c0,000e9b7d2d75,901,1
001195fa35dd,000e9b7d2d75,72,1
00601d29a832,0012f0a48189,698.5,4
000e35f29016,0050fcdf87b3,31.3333333333333,3
001124fc442d,000e35f29016,443.666666666667,3
0012f0bbb688,001217c93e63,69.2765957446808,94
0012f0bbb688,004096ed1367,23.9166666666667,60
00054e86b2e1,0012f082b0ae,319.632107023411,299
000d88dd803a,0012f082b0ae,544.5,2
001124c778d5,0030655613ad,127,1
009096fc39ed,00904b815985,804.5,2
0012f082b0ae,000b7db2cd2d,264.825,200
00601d29a832,0012f0a6ca93,214.538461538462,13
000e35fe55ae,001217c93e63,288.444444444444,9
000e35fe55ae,00028a236470,104.75,12
0012f0a6ca93,0030bde66874,183.375,8
00022d4d36b4,000e35f29016,2817,1
000e356f1357,000b7d2eb8fe,2390.90909090909,22
000e356f1357,0030bde66874,2659.4,15
000b7d2eb8fe,0030bde66874,5698.67741935484,31
00ae42fbe382,001150173da7,629.333333333333,3
000e35fe55ae,00022d6c25c8,5279,2
001150173da7,00022d6c25c8,7279,1
00ae42fbe382,00054e86b2e1,508.166666666667,6
00904b2f31b2,000e35fe55ae,1138,1
00904b2f31b2,001150173da7,1138,1
000fb5ec34a6,000e356f1357,626.272727272727,11
000fb5ec34a6,004096ed1367,5,2
001346df0185,000fb5ec34a6,4.5,2
0012f0bbb688,00022d6c25c8,12.0740740740741,27
001150173da7,001217c93e63,16,1
0012f081c713,001217c93e63,38.1,20
004096ed1367,00028a236470,246.878048780488,41
001195fa35dd,0012f081c713,18.3333333333333,9
00ae42fbe382,001217c93e63,239.5,10
000fb58ed0e7,000393a9428e,1,2
00054e86b2e1,0012f09832e9,135.22641509434,106
0012f0f635fa,00022d6c25c8,96.5,2
000fb5ec34a6,0012f0a48189,4806,4
0012f0d9baad,001195fa35dd,28.7857142857143,14
00054e86b2e1,001195fa35dd,81.7142857142857,7
001195fa35dd,00028a236470,97.3333333333333,6
00054ec291ca,001195fa35dd,214,5
