source,destination,start,fin,AP
ff:ff:ff:ff:ff:ff,00:c9:fa:b3:54:a8,1093885819,1093885913,0
6d:d3:23:45:a7:b0,79:17:32:cc:a7:b0,1093885455,1093885685,1
6d:d3:23:45:a7:b0,82:46:7c:ea:a7:b0,1093885547,1093886049,1
12:31:8c:2a:b6:b0,02:c2:d1:40:80:db,1093885474,1093885856,1
ee:16:72:67:b6:b0,00:0e:d7:87:e0:60,1093885287,1093885304,0
52:75:fc:df:b7:2d,36:35:e9:b3:a7:b0,1093885279,1093885545,0
ee:16:72:67:b7:2d,00:0e:d7:87:e0:60,1093885195,1093885349,0
11:7e:5d:6b:a8:ad,6c:ed:fa:da:a8:ad,1093885183,1093885368,0
25:84:b1:64:80:db,e2:30:20:e0:80:db,1093885341,1093885567,1
25:84:b1:64:80:db,47:ad:74:99:80:db,1093885384,1093885720,1
25:84:b1:64:80:db,82:46:39:8b:80:db,1093885270,1093885991,1
e4:89:06:96:ff:ff,00:0e:d7:87:e0:60,1093885194,1093885280,0
11:7e:5d:6b:a8:ad,1d:07:32:de:a8:ad,1093885572,1093885778,1
25:84:b1:64:80:db,6e:9e:2b:4a:80:db,1093885306,1093885797,1
25:84:b1:64:80:db,ad:92:55:8b:80:db,1093885501,1093885934,1
6d:d3:23:45:a7:b0,99:f6:6a:8b:a7:b0,1093885275,1093886052,1
25:84:b1:64:80:db,02:c2:3f:65:80:db,1093885316,1093886043,1
ff:ff:ff:ff:ff:ff,6e:b5:80:8a:3b:80,1093885313,1093885797,1
ff:ff:ff:ff:ff:ff,99:a1:80:8a:3b:80,1093885493,1093885797,1
25:84:b1:64:80:db,47:11:0c:3f:80:db,1093885306,1093886037,1
25:84:b1:64:80:db,82:8a:3f:8b:80:db,1093885298,1093886059,1
25:84:b1:64:80:db,6e:e2:a7:b3:80:db,1093885771,1093886022,1
52:75:fc:df:b7:2d,00:c9:fa:b3:a7:b0,1093885811,1093885829,0
52:75:fc:df:b7:2d,84:ff:32:cc:a7:b0,1093885307,1093886036,1
6d:d3:23:45:a7:b0,26:b5:80:8a:a7:b0,1093885382,1093885873,1
25:84:b1:64:80:db,4e:fd:c3:c0:80:db,1093885320,1093886027,1
25:84:b1:64:80:db,62:0d:a8:c1:80:db,1093885621,1093885857,1
25:84:b1:64:80:db,4f:5f:a8:c1:80:db,1093885502,1093885921,1
11:7e:5d:6b:a8:ad,06:d4:f6:b8:a8:ad,1093885561,1093885879,1
11:7e:5d:6b:a8:ad,8c:35:79:8d:a8:ad,1093885307,1093885711,1
25:84:b1:64:80:db,67:b0:7f:0d:80:db,1093885737,1093886034,1
a5:93:b5:91:80:db,00:40:96:a1:2b:89,1093885876,1093886142,0
a5:93:b5:91:b6:b0,8d:be:d6:70:2b:89,1093885855,1093886113,0
6d:d3:23:45:a7:b0,72:03:32:de:a7:b0,1093885438,1093886031,1
12:31:8c:2a:b6:b0,c5:c8:6e:c2:80:db,1093885422,1093885450,0
25:84:b1:64:80:db,5a:ff:32:de:80:db,1093885406,1093886029,1
25:84:b1:64:80:db,c5:fe:32:de:80:db,1093885235,1093886016,1
25:84:b1:64:80:db,74:b5:80:8a:80:db,1093885432,1093886054,1
6d:d3:23:45:a7:b0,4c:57:82:f5:a7:b0,1093885188,1093885891,0
6d:d3:23:45:a7:b0,6d:03:9b:d8:a7:b0,1093885502,1093885926,1
11:7e:5d:6b:a8:ad,4c:57:82:f5:a8:ad,1093885273,1093885891,0
6d:d3:23:45:a7:b0,5e:10:cf:44:a7:b0,1093885569,1093886053,1
11:7e:5d:6b:a8:ad,6e:9e:2b:a4:a8:ad,1093885314,1093886060,1
52:75:fc:df:b7:2d,8a:81:eb:63:0d:9a,1093885574,1093885614,0
12:31:8c:2a:b6:b0,12:b8:f1:a8:80:db,1093885422,1093885441,0
